total_calls,high_priority,medium_priority,low_priority,gridid,objectid,Shape__Area,Shape__Length
22001,1649,5249,15103,882a134a93fffff,326,1249142.89453125,4163.69536120078
3376,109,901,2366,882a134a95fffff,327,1249763.9375,4164.72337824401
17084,1673,5297,10114,882a134a97fffff,328,1249288.4296875,4163.9361908318
9416,540,2162,6714,882a134a99fffff,329,1249948.359375,4165.02903458535
9795,1055,3424,5316,882a134a9bfffff,330,1249471.87109375,4164.24031296588
2808,278,864,1666,882a134a9dfffff,331,1250094.27734375,4165.27032402755
10479,1066,3495,5918,882a134aa1fffff,332,1250677.9921875,4166.2354728318
13904,1530,4498,7876,882a134aa3fffff,333,1250201.64453125,4165.44721244659
8398,935,2745,4718,882a134aa5fffff,334,1250823.6015625,4166.47620597229
1955,227,493,1235,882a134aa7fffff,335,1250347.0078125,4165.6875971179
22730,1364,3827,17539,882a134aa9fffff,336,1251009.02734375,4166.78337359715
9133,704,3405,5024,882a134aabfffff,337,1250532.12109375,4165.99429969952
9141,614,2032,6495,882a134aadfffff,338,1251154.7890625,4167.02432426509
8746,698,2220,5828,882a134ab1fffff,339,1249579.3984375,4164.41751524021
12131,1132,4090,6909,882a134ab3fffff,340,1249103.90234375,4163.63027784926
18120,1630,5503,10987,882a134ab5fffff,341,1249724.9765625,4164.65833345518
9909,1119,3354,5436,882a134ab7fffff,342,1249249.06640625,4163.87042915601
3017,208,985,1824,882a134ab9fffff,343,1249909.91796875,4164.96481021138
12268,1104,3398,7766,882a134abbfffff,344,1249433.8828125,4164.17685687818
12796,1336,3432,8028,882a134abdfffff,345,1250055.74609375,4165.20595855266
3507,238,942,2327,882a134ac1fffff,346,1251855.87890625,4168.18496377272
6722,809,2159,3754,882a134ac3fffff,347,1251378.91015625,4167.39602618325
8694,685,2275,5734,882a134ac5fffff,348,1252002.1640625,4168.42667631775
6306,693,1820,3793,882a134ac7fffff,349,1251525.15234375,4167.63772865016
3934,351,1171,2412,882a134ac9fffff,350,1252187.22265625,4168.73310582941
